{'stock_code': '600000', 'initial_cash': 50000, 'final_value': 53159.000000000015, 'return_rate': 6.318000000000024, 'max_drawdown': 2.3694611233563743, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002466', 'initial_cash': 50000, 'final_value': 53025.0, 'return_rate': 6.05, 'max_drawdown': 0.0, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000415', 'initial_cash': 50000, 'final_value': 52940.0, 'return_rate': 5.879999999999996, 'max_drawdown': 0.0, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601636', 'initial_cash': 50000, 'final_value': 46835.0, 'return_rate': -6.330000000000002, 'max_drawdown': 11.61, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002410', 'initial_cash': 50000, 'final_value': 51558.0, 'return_rate': 3.1160000000000077, 'max_drawdown': 1.648162985006295, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600109', 'initial_cash': 50000, 'final_value': 52564.99999999999, 'return_rate': 5.12999999999999, 'max_drawdown': 3.978413423461588, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600600', 'initial_cash': 50000, 'final_value': 48139.99999999999, 'return_rate': -3.720000000000012, 'max_drawdown': 5.04, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300979', 'initial_cash': 50000, 'final_value': 56294.00000000001, 'return_rate': 12.588000000000022, 'max_drawdown': 1.0811007571345237, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000975', 'initial_cash': 50000, 'final_value': 45490.0, 'return_rate': -9.019999999999994, 'max_drawdown': 9.02, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000785', 'initial_cash': 50000, 'final_value': 51708.0, 'return_rate': 3.415999999999997, 'max_drawdown': 7.239540212180142, 'total_trades': 6, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '301308', 'initial_cash': 50000, 'final_value': 48952.00000000001, 'return_rate': -2.0959999999999868, 'max_drawdown': 10.9979633401222, 'total_trades': 6, 'start_date': '20240101', 'end_date': '20241231'}
